re,im,fd
-0.08564988742231117,-0.16972159677996876,0.9021960828009054
-0.08329781183501411,-0.17032100461134553,0.9021330792453935
-0.08102403673764978,-0.17088321925168917,0.9021349281924431
-0.0784838580662963,-0.17152590911868168,0.9011013361073325
-0.07612336429907526,-0.17211666795319258,0.9014996828742284
-0.0737427952718176,-0.17270498949557514,0.9015356240059603
-0.0713549485944897,-0.17328986693107423,0.9014959090132064
-0.06896262636118851,-0.17387080165512075,0.9014344744461615
-0.06656720903069786,-0.1744474031801471,0.9013761284727737
-0.06416970979643194,-0.17501929570660824,0.9013491341401697
-0.06177102393109301,-0.17558609176654802,0.9014128423140856
-0.05937201180121483,-0.1761473827608528,0.9017588915267924
-0.05697353426868152,-0.17670273485167787,0.9036531089037855
-0.054576471491169384,-0.17725168687881943,0.8909322886889331
-0.05218173524931742,-0.17779374917721866,0.897535285732468
-0.04979027878063737,-0.17832840289067683,0.8981284250133745
-0.047403106129651186,-0.17885509965873214,0.8981745709784492
-0.045021282657141934,-0.17937326171136764,0.8980425076564817
-0.04264594933452335,-0.17988228256091,0.8978212170716826
-0.0402783474797205,-0.1803815288098049,0.8975418860689284
-0.03791987654263709,-0.18087034446766395,0.8972165878549497
-0.035572288593007366,-0.1813480615899257,0.8968462461060668
-0.03323880073772989,-0.18181400814954368,0.8964002726433574
-0.03095087635377533,-0.1822603549417765,0.8954810276738727
-0.028582364717920306,-0.1827027801642166,0.8956987235898267
-0.02629654662175806,-0.1831301893367617,0.8951585227914394
-0.024023867821819356,-0.18354109495235976,0.8946325820567216
-0.02177046344911678,-0.18393594479106748,0.8940748766548119
-0.019539201586025682,-0.1843140973337514,0.8934802698877441
-0.0173326271532503,-0.184674798997316,0.8928364112982369
-0.015153325067647492,-0.18501728634372935,0.8922679408387456
-0.013004011344286805,-0.18534081716753764,0.8915106157387952
-0.01088756733030143,-0.18564469001528794,0.8907565782264623
-0.008807056511319414,-0.18592826199934412,0.8899630788054601
-0.00676573383447755,-0.18619096719991257,0.889125655886617
-0.004767051036256569,-0.1864323357486388,0.8882420785171747
-0.002814679242443212,-0.1866519798829047,0.8873104023543089
-0.000912342488335607,-0.18684981726424196,0.8863328303493405
0.0009357960900931641,-0.18702565822718425,0.8853059539855286
0.002725616048257419,-0.1871796925475251,0.8842358128942073
0.004452781938627667,-0.18731226217156324,0.8832507694735073
0.0061128429383807215,-0.18742393443066727,0.8818706327764244
0.007701264256655324,-0.1875155160437737,0.8806629821921073
0.009213467768899362,-0.1875880619969825,0.8794008917868851
0.010644879155576843,-0.18764287703204274,0.8780998462300554
0.011990980527684093,-0.18768150816736898,0.8767698077760147
0.013247366160073085,-0.1877057258384313,0.8754224376325385
0.01440980045287563,-0.1877174940427676,0.8740721820634262
0.015474273929087352,-0.18771892768076848,0.8727372938286702
0.016437055407008398,-0.18771223876985138,0.8714389000974487
0.017294737301116046,-0.18769967307484214,0.8702013777021878
0.018044272102390502,-0.18768344012866467,0.8690513259054862
0.018682999019343238,-0.18766564032453234,0.8680164584513413
0.019208660930990065,-0.18764819307813874,0.8671241600924788
0.019619412899614917,-0.18763276990460906,0.8663998714219353
0.01991382430053184,-0.18762073572371765,0.8658654575393445
0.020090877020160318,-0.18761310096600708,0.8655377318389306
0.03242842829958112,-0.20689180083172032,0.3362864073146729
0.12928479265807355,-0.29834910879600574,0.7897972137291394
0.12944717660670896,-0.2983834800577698,0.7966536133310578
0.12971550723032904,-0.2984457594315505,0.8046445140726683
0.1300821119675055,-0.29854859215073565,0.8031623788254987
0.13049111460568127,-0.2987149902685981,0.7689617004727911
0.13088986842996925,-0.298777709201878,0.7732398951701527
0.1315049624274311,-0.2987790607308422,0.80151576215987
0.13225113580176434,-0.29882993905225924,0.8078227322540784
0.13309861646263885,-0.2989093154025152,0.8083710374377197
0.13404231900056757,-0.29901190206442496,0.8077593815359521
0.13507861431400994,-0.2991371376968919,0.8071341267747822
0.13620383018204857,-0.29928581856395886,0.8067706366720301
0.13741409734223206,-0.29945918776734354,0.8067089072110359
0.13870535740553291,-0.2996586007850259,0.8069172227763977
0.1400734010950592,-0.29988537162669954,0.8073497808413925
0.14151391364365992,-0.30014069100807556,0.80796179868895
0.1430225210854064,-0.3004255797908922,0.8087139200352175
0.14459483496876485,-0.300740863296995,0.8095733667474415
0.1462264937699999,-0.30108715967203015,0.8105118440471945
